time;angle;pressure;set_point;motor_speed
0.04656940000131726;6.66;0.25;0.00;0
0.0923223999561742;6.66;0.14;0.00;-66
0.1255832000169903;6.66;0.25;0.00;-66
0.18749629997182637;6.66;0.25;0.00;-66
0.2328781000105664;6.66;0.14;0.00;-66
0.26393120002467185;6.66;0.25;0.00;-66
0.2950764000415802;6.66;0.14;0.00;-66
0.3417398000601679;6.66;0.14;0.00;-66
0.37339810002595186;6.66;0.14;0.00;-66
0.43600180000066757;6.66;0.25;0.00;-66
0.4960517999716103;6.66;0.14;0.00;-66
0.5572636000579223;6.66;0.25;0.00;-66
0.5893382000504062;6.66;0.14;0.00;-66
0.6673857000423595;6.66;0.14;0.00;-66
0.7132944000186399;6.66;0.14;0.00;-66
0.7445254999911413;6.66;0.25;0.00;-66
0.7748635000316426;6.66;0.14;0.00;-66
0.8066724999807775;6.66;0.25;0.00;-66
0.869151100050658;6.66;0.14;0.00;-66
0.9173379000276327;6.66;0.03;1.00;-66
0.9477132000029087;6.66;0.25;1.00;-56
0.9789771999930963;6.66;0.25;1.00;-56
1.0110718000214547;6.66;0.14;1.00;-56
1.057182400021702;6.66;0.14;1.00;-56
1.121079899952747;6.66;0.14;2.00;-56
1.1683265999890864;6.66;0.14;2.00;-46
1.2000309999566525;6.66;0.14;2.00;-46
1.2456019000383094;6.66;0.25;2.00;-46
1.3064473000122234;6.66;0.14;2.00;-46
1.3534700999734923;6.66;0.14;4.00;-46
1.4156547000166029;6.66;0.14;4.00;-26
1.4626105000497773;6.66;0.25;4.00;-26
1.5082083999877796;6.66;0.25;4.00;-26
1.5546746000181884;6.66;0.14;4.00;-26
1.6480589000275359;6.66;0.25;6.00;-26
1.6794030000455678;6.66;0.14;6.00;-26
1.756070000003092;6.66;0.25;6.00;-6
1.8009795000543818;6.66;0.25;6.00;-6
1.8480737999780104;6.66;0.25;6.00;-6
1.9253148999996483;6.66;0.25;8.00;13
1.9723751000128686;6.66;0.36;8.00;13
2.034972200053744;6.66;0.25;8.00;13
2.096055099973455;6.66;0.36;8.00;13
2.1587373999645934;6.66;0.25;8.00;13
2.2059438000433147;6.66;0.25;10.00;13
2.251545900013298;6.66;0.36;10.00;33
2.281542500015348;6.66;0.25;10.00;33
2.3296136000426486;6.66;0.46;10.00;33
2.4057290999917313;6.66;1.34;10.00;33
2.4538276999955997;6.66;0.79;13.00;63
2.4993834999622777;6.66;2.21;13.00;63
2.5290964000159875;6.66;2.65;13.00;63
2.5608050000155345;5.91;1.55;13.00;70
2.590857799979858;5.91;1.88;13.00;70
2.638797100051306;5.05;2.32;16.00;70
2.7009917000541463;4.18;2.32;16.00;109
2.7635801000287756;3.33;2.86;16.00;109
2.82492959999945;2.17;4.50;16.00;126
2.8716727000428364;-0.52;6.57;16.00;165
2.9508324000053108;-2.51;7.77;19.00;165
3.01559460000135;-4.38;6.02;19.00;224
3.0608430999564007;-6.47;7.77;19.00;224
3.105784500017762;-7.30;6.46;19.00;255
3.1367417000001296;-8.06;7.11;19.00;255
3.185481599997729;-9.08;11.80;22.00;255
3.232255300041288;-9.08;10.49;22.00;255
3.2641522999620065;-9.95;13.00;22.00;255
3.3248561000218615;-9.95;14.09;22.00;255
3.3874553999630734;-9.95;11.58;22.00;255
3.4339759000577033;-10.74;12.46;25.00;255
3.464692599955015;-10.74;14.53;25.00;255
3.4964337999699637;-11.55;13.00;25.00;255
3.541795299970545;-11.64;15.07;25.00;255
3.5772318999515846;-11.64;15.83;25.00;255
3.635755900060758;-11.64;15.72;29.00;255
3.6962946000276133;11.64;13.87;29.00;255
3.7274221000261605;-12.37;13.33;29.00;255
3.7570645000087097;-12.45;12.89;29.00;255
3.7882316999603063;-12.45;14.96;29.00;255
3.835505499970168;-12.45;15.40;32.00;255
3.8663126999745145;-12.45;17.36;32.00;255
3.9107595999957994;-13.25;14.96;32.00;255
3.972273400053382;-13.25;17.03;32.00;255
4.018291500047781;-13.25;18.89;32.00;255
4.063985000015236;-13.25;15.62;35.00;255
4.111864399979822;-13.25;16.60;35.00;255
4.1601330999983475;-13.25;15.62;35.00;255
4.207364300033078;-13.25;18.45;35.00;255
4.253095500054769;-13.25;19.54;35.00;255
4.299823299981654;-13.25;16.49;38.00;255
4.332039100001566;-13.25;15.29;38.00;255
4.379638900049031;-13.25;17.47;38.00;255
4.409204900031909;-13.25;17.14;38.00;255
4.486585699953139;-13.25;19.10;38.00;255
4.534029699978419;-13.25;15.83;41.00;255
4.630724800052121;-13.25;16.81;41.00;255
4.661542100016959;-13.25;18.45;41.00;255
4.721461500041187;-13.25;18.89;41.00;255
4.797908000065945;-13.25;17.14;41.00;255
4.846275900024921;-12.46;18.12;44.00;255
4.908018299960531;-12.46;18.34;44.00;255
4.937590199988335;-12.46;20.19;44.00;255
4.969826100044884;-12.46;18.78;44.00;255
5.002613999997266;-11.73;17.14;44.00;255
5.047718200017698;-11.65;18.12;47.00;255
5.114824400050566;-11.65;17.47;47.00;255
5.1729749999940395;-10.80;18.89;47.00;255
5.234885500045493;-10.80;20.52;47.00;255
5.28291700000409;-9.89;16.92;47.00;255
5.362855799961835;-9.88;17.69;50.00;255
5.407352500013076;-9.88;19.21;50.00;255
5.484777700039558;-9.88;17.90;50.00;255
5.547296899952926;-8.95;18.23;50.00;255
5.597351699951105;-8.95;18.23;50.00;255
5.640748900012113;-8.95;21.50;52.00;255
5.6727214000420645;-8.95;18.12;52.00;255
5.7036708999658;-8.10;17.47;52.00;255
5.749312600004487;-8.09;18.23;52.00;255
5.779807799961418;-8.09;21.50;52.00;255
5.828900899970904;-8.09;16.92;54.00;255
5.855920400004834;-8.09;18.99;54.00;255
5.887237400049344;-8.09;17.69;54.00;255
5.918209600029513;-7.42;21.39;54.00;255
5.9661416000453755;-7.34;21.39;54.00;255
6.043741200002842;-7.34;17.14;56.00;255
6.103064900031313;-7.34;21.61;56.00;255
6.165411700028926;-7.34;17.25;56.00;255
6.229522099951282;-7.34;17.14;56.00;255
6.261819200008176;-7.34;17.69;56.00;255
6.354124999954365;-7.34;17.36;57.00;255
6.4006355999736115;-6.48;16.92;57.00;255
6.4325229000533;-6.47;18.45;57.00;255
6.479234999977052;-6.47;18.12;57.00;255
6.511829699971713;-6.47;18.12;57.00;255
6.602394000045024;-6.47;17.90;58.00;255
6.635273499996401;-6.47;18.89;58.00;255
6.698161200038157;-5.79;18.78;58.00;255
6.78015999996569;-5.71;17.47;58.00;255
6.821732999989763;-5.71;17.58;58.00;255
6.8681743000634015;-5.71;20.19;59.00;255
6.898760900017805;-5.71;17.80;59.00;255
6.947758599999361;-5.71;18.12;59.00;255
6.994719799957238;-5.71;18.34;59.00;255
7.055009300005622;-5.71;21.28;59.00;255
7.101941299973987;-4.76;17.47;59.00;255
7.165361599996686;-4.76;18.01;59.00;255
7.2000036999816075;-4.76;19.76;59.00;255
7.2571690999902785;-4.76;20.63;59.00;255
7.288183000055142;-4.76;16.81;59.00;255
7.368584700045176;-4.76;17.47;59.00;255
7.432001700042747;-3.98;19.87;59.00;255
7.463580299983732;-3.98;19.76;59.00;255
7.494585199980065;-3.98;17.69;59.00;255
7.538862299988978;-3.98;17.47;59.00;255
