time;angle;pressure;set_point;motor_speed
0.040919499999290565;-0.01;4.39;0.00;30
0.08074889999988955;-0.01;5.59;0.00;30
0.11557689999972354;-0.01;4.17;0.00;30
0.1559001999994507;-0.01;5.59;0.00;30
1.2215692999998282;-0.01;4.61;0.00;30
1.2590118999996776;-0.01;5.70;0.00;30
1.3014585000000807;-0.01;4.61;0.00;30
1.3327755999998772;-0.01;5.70;0.00;30
1.3574708999994982;-0.01;5.04;0.00;30
2.408093899999585;-0.01;4.61;0.00;30
2.4519131999995807;-0.01;5.59;0.00;30
2.4910284999996293;-0.01;4.72;0.00;30
2.52142399999957;-0.01;5.70;0.00;30
2.5611819999994623;-0.01;5.37;0.00;30
3.631630299999415;0.79;4.50;0.00;25
3.671024700000089;0.79;5.04;0.00;24
3.7064158999992287;0.79;4.72;0.00;24
3.7512699999997494;0.79;4.61;0.00;24
3.7861785999994026;0.79;3.95;0.00;24
4.841148799999246;0.79;4.82;1.00;24
4.874523699999372;0.79;4.61;1.00;24
4.907990400000017;0.79;3.74;1.00;24
4.941525299999739;0.79;5.15;1.00;30
4.9715112999992925;0.79;4.28;1.00;30
6.036128499999904;0.79;5.70;2.00;30
6.071434299999964;0.79;4.93;2.00;30
6.107961199999409;0.79;6.02;2.00;36
6.151266599999872;0.79;4.82;2.00;36
6.186261099999683;0.79;5.48;2.00;36
7.241296599999259;0.79;5.70;3.00;37
7.276334599999245;0.79;6.35;3.00;43
7.316165700000056;0.79;7.22;3.00;43
7.34779029999936;0.79;6.35;3.00;43
7.388617900000099;0.79;6.68;3.00;44
8.45666809999966;0.79;6.68;5.00;58
8.501459699999941;0.79;8.53;5.00;58
8.54147169999942;0.79;7.44;5.00;58
8.581198399999266;0.79;7.33;5.00;58
8.620893199999955;0.79;8.75;5.00;58
9.671687299999576;1.54;8.53;7.00;58
9.706913699999859;1.54;8.53;7.00;58
9.739008300000023;1.54;9.62;7.00;70
9.776861800000006;1.54;10.06;7.00;70
9.808795799999643;1.54;9.18;7.00;70
10.871290499999304;2.32;10.49;9.00;71
10.911114999999882;2.32;10.60;9.00;83
10.95149069999934;2.32;11.58;9.00;83
10.991681599999538;2.32;11.69;9.00;83
11.032249399999273;2.32;11.91;9.00;84
12.085945299999366;3.84;12.35;11.00;92
12.121775599999637;3.84;13.54;11.00;92
12.158523299999615;4.60;12.35;11.00;92
12.191185899999255;4.60;12.89;11.00;89
12.23109409999961;4.60;12.46;11.00;89
13.301473099999384;6.20;13.76;14.00;85
13.34150199999931;6.20;14.74;14.00;85
13.38201140000001;6.20;15.18;14.00;103
13.421790499999588;6.20;13.98;14.00;103
13.456103099999382;6.20;13.98;14.00;103
14.53144649999922;9.48;15.29;17.00;95
14.566888800000015;9.48;16.38;17.00;109
14.611582399999861;9.48;16.49;17.00;109
14.651221499999338;9.48;15.29;17.00;109
14.681333199999244;9.48;15.40;17.00;109
15.741279099999701;12.69;16.38;20.00;114
15.781954600000063;12.69;16.38;20.00;114
15.816065799999706;12.69;16.38;20.00;114
15.851191599999765;12.69;16.38;20.00;115
15.886385199999495;12.69;16.49;20.00;115
16.95134059999964;15.96;17.36;23.00;101
16.991123499999958;15.96;17.80;23.00;101
17.031098999999813;15.96;18.23;23.00;120
17.071791099999245;15.96;17.58;23.00;120
17.11114279999947;16.66;18.56;23.00;120
18.176512600000024;19.83;18.01;27.00;101
18.216561499999443;19.83;18.23;27.00;126
18.255751599999712;19.83;18.99;27.00;126
18.287594599999466;19.83;18.12;27.00;126
18.324095599999964;19.83;18.12;27.00;127
19.371226100000058;23.93;18.56;30.00;106
19.407223299999714;23.93;18.67;30.00;125
19.439455599999746;23.93;18.56;30.00;125
19.47643919999973;23.93;20.41;30.00;125
19.516195799999878;24.69;20.52;30.00;121
20.571106299999883;28.04;20.08;34.00;129
20.605919399999948;28.04;18.99;34.00;129
20.63661199999933;28.04;19.21;34.00;129
20.676441099999465;28.04;19.87;34.00;129
20.716163799999777;28.04;19.21;34.00;129
21.77628259999983;32.20;20.41;38.00;108
21.811160199999904;32.20;20.63;38.00;108
21.84663249999994;32.20;20.96;38.00;132
21.886768299999858;32.20;21.50;38.00;132
21.92039549999936;32.20;19.54;38.00;132
22.988007500000094;36.52;19.87;43.00;110
23.03150430000005;36.52;21.50;43.00;140
23.070861799999875;37.29;19.87;43.00;140
23.101683999999295;37.30;20.85;43.00;140
23.140985299999556;37.30;19.98;43.00;136
24.20649609999964;41.55;20.08;47.00;138
24.23964259999957;41.55;20.19;47.00;138
24.270090199999686;41.55;20.19;47.00;138
24.306671800000004;42.33;20.41;47.00;134
24.33890599999995;42.34;20.08;47.00;134
25.400774799999454;46.34;21.94;51.00;112
25.441162600000098;46.34;20.41;51.00;112
25.471933199999512;46.34;20.41;51.00;112
25.50284659999943;46.34;20.52;51.00;137
25.541592300000048;46.34;20.19;51.00;137
26.61688629999935;51.40;20.63;56.00;113
26.65654739999991;51.41;20.41;56.00;113
26.691484899999523;51.41;20.41;56.00;139
26.72620310000002;51.41;20.63;56.00;139
26.77130809999926;51.41;20.52;56.00;139
27.85123399999975;56.28;20.96;60.00;136
27.89138120000007;56.28;21.39;60.00;136
27.9315845000001;56.28;20.52;60.00;136
27.97126919999937;56.28;22.48;60.00;137
28.010943700000098;56.28;20.52;60.00;137
29.081383199999436;60.31;20.52;65.00;114
29.121470699999918;60.31;20.63;65.00;144
29.158654799999567;60.31;20.52;65.00;144
29.19603879999977;61.08;20.41;65.00;144
29.236835099999553;61.08;21.39;65.00;140
30.311573999999382;65.17;20.63;70.00;148
30.351517000000058;65.17;20.41;70.00;148
30.3916621999997;65.17;21.50;70.00;148
30.43185429999994;65.98;20.52;70.00;148
30.466722499999378;65.99;20.41;70.00;148
31.52693670000008;69.30;22.26;75.00;125
31.571476099999927;70.14;20.41;75.00;125
31.611283599999297;70.15;20.30;75.00;151
31.646125199999915;70.15;20.30;75.00;151
31.68111299999964;70.15;20.63;75.00;151
32.7518356999999;74.40;20.30;79.00;128
32.791515299999446;74.40;20.41;79.00;152
32.831345300000066;75.34;20.30;79.00;152
32.871461499999896;75.35;20.19;79.00;147
32.91103599999951;75.35;21.17;79.00;147
33.96637809999993;79.18;22.16;84.00;126
34.0112067;79.18;21.28;84.00;126
34.04618559999926;79.18;20.30;84.00;156
34.08603789999961;79.18;20.30;84.00;156
34.11626479999995;79.18;20.41;84.00;156
35.191676800000096;83.22;22.05;89.00;135
35.22644559999935;84.14;20.30;89.00;160
35.26638180000009;84.14;20.30;89.00;160
35.301678699999684;84.14;20.19;89.00;160
35.33813719999944;84.14;20.30;89.00;160
36.415985499999806;88.22;20.30;93.00;138
36.44789779999974;88.22;20.19;93.00;138
36.48656739999933;88.22;22.26;93.00;138
36.518910299999334;89.10;20.30;93.00;162
36.55657389999942;89.11;20.52;93.00;162
37.621861999999965;93.36;20.30;98.00;134
37.65669949999938;93.36;21.28;98.00;134
37.691538899999614;93.36;20.74;98.00;164
37.731681299999764;93.36;22.37;98.00;164
37.76689649999935;93.36;20.74;98.00;164
38.83131289999983;98.30;20.19;102.00;141
38.87114489999931;98.31;20.41;102.00;161
38.90635899999961;98.31;20.52;102.00;161
38.94174750000002;98.31;20.08;102.00;161
38.981552599999304;98.31;20.41;102.00;161
40.0417467999996;103.13;20.41;106.00;133
40.081112899999425;103.13;22.16;106.00;133
40.12108929999977;103.13;20.30;106.00;133
40.161337300000014;103.13;21.83;106.00;157
40.196175799999764;103.13;22.37;106.00;157
41.26668549999977;107.06;20.41;111.00;134
41.30119979999927;107.06;20.52;111.00;134
41.3413800999997;107.77;22.48;111.00;165
41.37645499999962;107.85;20.85;111.00;165
41.411295199999586;107.85;20.08;111.00;160
42.47144919999937;111.90;20.41;115.00;137
42.5044984999995;111.90;21.07;115.00;161
42.54120039999998;111.90;21.07;115.00;161
42.581196799999816;112.70;20.74;115.00;161
42.6144919999997;112.70;20.30;115.00;157
43.681200199999694;116.64;20.63;119.00;158
43.717565199999626;116.64;20.63;119.00;158
43.75136789999942;116.64;20.63;119.00;158
43.78499059999922;116.64;20.63;119.00;158
43.817869299999984;117.47;20.63;119.00;158
44.896467599999596;120.86;20.52;122.00;132
44.934889199999816;121.66;20.85;122.00;132
44.9687415999997;121.66;20.41;122.00;145
45.00985639999999;121.66;21.61;122.00;145
45.04326549999951;121.66;20.74;122.00;145
46.10027369999989;124.89;21.61;126.00;125
46.1311883999997;124.89;20.63;126.00;149
46.16733679999925;124.89;21.61;126.00;149
46.20181159999993;124.89;21.50;126.00;149
46.24145059999955;124.89;20.63;126.00;149
47.30291149999994;128.18;21.61;129.00;128
47.34118049999961;128.90;20.74;129.00;146
47.37619469999936;128.98;20.63;129.00;146
47.411721399999806;128.98;22.70;129.00;141
47.45151569999962;128.98;20.74;129.00;141
48.51616549999926;132.17;20.96;132.00;121
48.55167569999958;132.17;22.70;132.00;121
48.58407779999925;132.17;21.61;132.00;121
48.61612049999985;132.17;20.74;132.00;139
48.65132420000009;132.17;22.26;132.00;139
49.72120509999968;135.31;21.61;135.00;118
49.761410299999625;135.31;21.17;135.00;118
49.796017499999834;135.31;21.50;135.00;136
49.83133259999977;135.31;20.85;135.00;136
49.8666745999999;135.31;22.70;135.00;136
50.931360499999755;138.62;21.39;138.00;114
50.96570269999938;138.62;22.59;138.00;132
50.997465499999635;138.62;20.96;138.00;132
51.03121139999985;138.62;21.07;138.00;132
51.066641499999605;138.62;20.74;138.00;132
52.125942399999985;141.08;20.85;140.00;115
52.15801079999983;141.08;20.96;140.00;127
52.19135509999978;141.08;21.17;140.00;127
52.21732449999945;141.08;20.85;140.00;127
52.255787499999315;142.03;20.96;140.00;122
53.31777919999968;143.58;22.59;142.00;121
53.356347099999766;143.58;21.17;142.00;121
53.39668819999952;143.58;22.92;142.00;121
53.4301719999994;144.32;21.39;142.00;121
53.4707056999996;144.40;22.05;142.00;121
54.55099749999954;145.96;22.05;144.00;104
54.58511249999992;145.96;21.17;144.00;104
54.6184762999992;145.96;21.07;144.00;115
54.66131959999984;145.96;20.96;144.00;115
54.70102979999956;145.96;20.96;144.00;115
55.76137539999945;147.49;20.96;146.00;103
55.79605569999967;147.49;21.39;146.00;115
55.831620299999486;147.49;21.39;146.00;115
55.871286300000065;147.49;21.17;146.00;115
55.90680919999977;148.25;21.39;146.00;111
56.98170049999953;149.10;20.96;147.00;103
57.01611460000004;149.10;21.39;147.00;103
57.050441800000044;149.10;21.07;147.00;108
57.12117289999969;149.98;21.07;147.00;108
57.16137809999964;149.98;21.50;147.00;103
58.22681669999929;150.83;21.28;148.00;95
58.265649299999495;150.83;21.39;148.00;101
58.3013162999996;150.83;21.07;148.00;101
58.3408830999997;150.83;21.17;148.00;100
58.381129399999736;150.83;21.17;148.00;100
59.44121039999936;151.60;21.94;149.00;92
59.48151809999945;151.60;21.83;149.00;92
59.512003199999526;151.60;21.28;149.00;98
59.550987699999496;151.60;21.83;149.00;98
59.58684919999996;151.60;21.39;149.00;98
60.66146570000001;152.41;21.39;149.00;90
60.690860199999406;152.41;21.28;149.00;90
60.721530099999654;152.41;21.39;149.00;90
60.75640369999928;152.41;21.83;149.00;90
60.79094779999923;152.41;21.17;149.00;89
61.85899309999968;153.21;21.17;150.00;81
61.891311599999426;153.21;21.17;150.00;87
61.93142159999934;153.21;21.28;150.00;87
61.96664639999926;153.21;21.28;150.00;87
62.00007619999997;153.21;21.17;150.00;86
63.06699630000003;153.21;21.28;149.00;77
63.09977009999966;153.21;21.28;149.00;77
63.13153969999985;153.21;21.17;149.00;77
63.1666338999994;153.21;21.17;149.00;77
63.21077349999996;153.21;21.28;149.00;77
64.27084969999942;152.44;21.17;149.00;77
64.30143609999959;152.44;21.17;149.00;77
64.33684579999954;152.44;21.17;149.00;77
64.37197939999987;152.44;21.17;149.00;77
64.39641539999957;152.44;21.17;149.00;77
65.46416409999983;152.44;21.07;148.00;74
65.49777819999963;152.44;21.28;148.00;74
65.54093179999927;152.44;21.28;148.00;67
65.57619199999954;152.44;21.28;148.00;67
65.61121899999944;151.76;21.28;148.00;67
66.66630159999931;150.12;21.17;147.00;78
66.70141049999984;149.42;21.17;147.00;72
66.73286019999978;149.35;21.07;147.00;72
66.76570779999929;149.35;21.17;147.00;72
66.79859919999944;149.35;21.17;147.00;76
67.86103319999984;147.73;21.07;146.00;84
67.89736589999939;147.73;21.07;146.00;78
67.94123049999962;147.73;21.07;146.00;78
67.98111569999946;147.73;21.07;146.00;78
68.02110539999921;147.04;20.96;146.00;78
69.08160549999957;145.28;20.96;144.00;80
69.11343399999987;145.28;20.96;144.00;80
69.14676309999959;145.28;20.96;144.00;80
69.18124009999974;145.28;20.96;144.00;80
69.22132369999963;145.28;21.07;144.00;80
70.2812400999992;142.91;20.96;142.00;90
70.3210556999993;142.83;20.85;142.00;90
70.36118759999954;142.83;20.96;142.00;83
70.39464529999987;142.83;20.85;142.00;83
70.42677639999965;142.83;20.85;142.00;83
71.4965400000001;141.12;20.85;140.00;93
71.5310399;141.12;20.85;140.00;81
71.56557919999977;141.12;20.74;140.00;81
71.5982697999998;140.34;20.85;140.00;81
71.63082489999942;140.33;20.74;140.00;86
72.69598779999978;138.74;20.74;138.00;83
72.72886759999983;138.74;20.74;138.00;83
72.76764639999965;138.74;20.74;138.00;83
72.80583669999942;138.74;20.74;138.00;83
72.84149639999941;138.74;20.74;138.00;83
73.91586129999996;136.37;20.63;135.00;98
73.9463984999993;136.37;20.74;135.00;98
73.98130559999936;136.37;20.63;135.00;80
74.02134129999922;136.37;20.63;135.00;80
74.05607899999995;136.37;20.63;135.00;80
75.11198859999968;133.99;20.63;132.00;94
75.15087949999997;133.99;20.63;132.00;76
75.1918697000001;133.99;20.63;132.00;76
75.22622159999992;133.99;20.63;132.00;76
75.26180589999967;133.99;20.63;132.00;76
76.33110209999995;132.38;20.52;129.00;66
76.37127069999951;131.65;20.52;129.00;66
76.41142529999979;131.57;20.52;129.00;66
76.44607709999946;131.57;20.52;129.00;70
76.47686069999963;131.57;20.52;129.00;70
77.54992709999988;130.02;20.52;126.00;78
77.59086469999966;130.02;20.41;126.00;78
77.62110119999943;130.02;20.52;126.00;60
77.66138159999991;130.02;20.52;126.00;60
77.69742059999953;130.02;20.52;126.00;60
78.75152529999923;127.68;20.41;122.00;71
78.78584309999951;127.68;20.41;122.00;46
78.82115559999966;127.68;20.41;122.00;46
78.86166419999972;127.68;20.41;122.00;46
78.89551479999955;127.68;20.41;122.00;46
