,time,angle,pressure,set_point,motor_speed,Filtered_angle
0,0.0329552000002877,-0.36,5.04,0.0,31,-0.35907904738796237
1,0.0715930000001208,-0.36,6.02,0.0,31,-0.36378979995071486
2,0.1123627000001761,-0.36,4.72,0.0,31,-0.3533992180065057
3,0.1496353000002273,-0.36,5.91,0.0,31,-0.3692919790461008
4,1.2143998999999894,-0.36,5.04,0.0,31,-0.3481967732742117
5,1.2494489999999132,-0.36,6.13,0.0,31,-0.3740775572883206
6,1.2833909000000858,-0.36,5.7,0.0,31,-0.343937219771885
7,1.3161310000000412,-0.36,5.7,0.0,31,-0.37771323969844467
8,1.3491766000001917,-0.36,6.02,0.0,31,-0.3410082172495408
9,2.422560599999997,0.39,5.37,0.0,27,0.37012821015600494
10,2.458020300000044,0.39,5.37,0.0,27,0.41033857941698176
11,2.502748200000042,0.39,5.26,0.0,27,0.3696106854617052
12,2.5429345000002286,0.39,5.04,0.0,27,0.41003142485987226
13,2.5829609000002165,0.39,5.59,0.0,27,0.3707195579494364
14,3.6629533000000265,0.39,5.15,1.0,32,0.40815796245802216
15,3.702953200000138,0.39,4.72,1.0,32,0.37331009004891547
16,3.737702100000206,0.39,6.02,1.0,32,0.40490508776273115
17,3.772809699999925,0.39,4.82,1.0,32,0.3771659974459818
18,3.807702800000243,0.39,6.24,1.0,32,0.4005079386973637
19,4.87766959999999,0.39,5.7,4.0,33,0.3820417440198641
20,4.907985400000143,0.39,6.79,4.0,33,0.3952158795853837
21,4.957488000000012,0.39,6.24,4.0,51,0.3876890526698742
22,4.992622199999914,0.39,6.24,4.0,51,0.38927257573621205
23,5.027524300000096,0.39,6.35,4.0,51,0.3938712964304446
24,6.0874447999999575,1.09,9.18,7.0,55,1.0829061353423124
25,6.123157999999876,1.17,7.99,7.0,69,1.1803686147529395
26,6.163533599999937,1.17,8.64,7.0,69,1.1563330296876049
27,6.198483000000124,1.17,8.42,7.0,69,1.186954575347537
28,6.23217139999997,1.17,9.73,7.0,69,1.1498129067515355
29,7.296555200000057,2.76,11.26,11.0,90,2.7833065199949267
30,7.330031500000132,2.77,10.6,11.0,90,2.7437603396381074
31,7.372867900000074,2.77,11.91,11.0,90,2.7989006762742092
32,7.413171799999873,2.77,11.04,11.0,90,2.738802257957209
33,7.452738100000261,2.77,11.04,11.0,90,2.803041960955943
34,8.518573299999844,5.18,14.2,15.0,83,5.145643489477652
35,8.557997500000056,5.18,13.33,15.0,83,5.215083391209982
36,8.592612100000224,5.18,13.33,15.0,108,5.144815055218147
37,8.629761900000176,5.18,13.54,15.0,108,5.214640161563508
38,8.672649300000103,5.93,13.98,15.0,108,5.896561527500795
39,9.729479099999937,9.29,15.29,21.0,96,9.321573403604258
40,9.768154299999878,9.29,15.29,21.0,128,9.260961040262544
41,9.807548100000076,9.29,15.72,21.0,128,9.315832711551842
42,9.83983070000022,9.99,15.51,21.0,128,9.968033718022598
43,9.878012200000285,10.07,16.81,21.0,125,10.087479268011244
44,10.92951260000018,14.99,18.23,27.0,107,14.97754839114459
45,10.963091900000109,15.0,17.36,27.0,140,15.00700896447345
46,10.99771899999996,15.0,18.12,27.0,140,14.99868396727847
47,11.031007500000214,15.0,17.25,27.0,140,14.995558312203974
48,11.063236400000278,15.0,17.36,27.0,141,15.01008183404589
49,12.128145000000131,21.76,18.45,33.0,145,21.744551353506598
50,12.172913700000208,21.76,18.67,33.0,145,21.7804284689767
51,12.212860300000102,21.76,18.45,33.0,145,21.735050665014146
52,12.252217100000053,22.64,18.78,33.0,146,22.668964929786473
53,12.29267280000022,22.74,18.78,33.0,146,22.707568152078498
54,13.351933700000243,28.94,19.43,40.0,110,28.975289063670715
55,13.387802000000192,28.94,19.54,40.0,110,28.902552944163233
56,13.42810180000015,28.94,19.32,40.0,153,28.978792959869658
57,13.472877900000183,29.79,19.43,40.0,153,29.75078912985918
58,13.507430699999986,29.79,19.54,40.0,153,29.82860903535139
59,14.55301580000014,36.71,19.98,48.0,113,36.673054557562224
60,14.592535600000248,36.71,20.19,48.0,162,36.744243743382725
61,14.622875800000202,37.55,19.87,48.0,162,37.51940789639818
62,14.663023300000075,37.56,19.98,48.0,162,37.586124958752585
63,14.702621100000217,37.56,20.08,48.0,158,37.53900492466185
64,15.763036700000155,45.35,20.63,56.0,117,45.36534430171355
65,15.802644299999884,46.08,20.3,56.0,166,46.07071718317279
66,15.83690260000003,46.16,20.19,56.0,166,46.162886167693905
67,15.87276810000003,46.16,20.52,56.0,162,46.16379059030094
68,15.912648999999874,47.09,20.52,56.0,162,47.07930931635654
69,16.98808390000022,54.67,21.72,64.0,120,54.68773289258885
70,17.02278699999988,54.75,20.63,64.0,120,54.72520426112942
71,17.057672599999933,54.75,20.63,64.0,164,54.78171752597197
72,17.09284310000021,54.75,20.85,64.0,164,54.71168663337691
73,17.127792600000248,55.52,20.63,64.0,164,55.56440136385503
74,18.20314409999992,63.13,22.48,72.0,119,63.08016991657901
75,18.242643399999903,63.13,20.74,72.0,168,63.18449937205517
76,18.28273709999985,64.01,20.63,72.0,168,63.95163461951402
77,18.322375100000045,64.02,21.17,72.0,163,64.08142812366546
78,18.357954200000226,64.02,21.28,72.0,163,63.95629107739062
79,19.417650400000184,70.72,22.48,80.0,127,70.7852264411386
80,19.452902399999857,71.54,20.52,80.0,127,71.47401960808176
81,19.487538500000028,71.63,20.52,80.0,127,71.69595097385817
82,19.527972299999877,71.63,20.3,80.0,170,71.56488662518291
83,19.57280949999995,71.63,20.52,80.0,170,71.69345949477574
84,20.652728500000197,78.43,21.17,89.0,134,78.3689801213338
85,20.687680399999863,78.43,20.41,89.0,189,78.48787846286034
86,20.729446800000005,79.29,20.63,89.0,189,79.23582806398692
