time;angle;pressure;set_point;motor_speed
0.0468745999969542;7.85;0.36;0.00;0
0.09437639999669045;-11.60;0.25;0.00;0
0.14156639999418985;-10.15;0.25;0.00;117
0.1872492999973474;-10.13;1.55;0.00;117
0.2324147999897832;-11.12;2.65;0.00;113
0.2943222999892896;-9.84;3.41;0.00;113
0.3413774999935413;-10.63;5.04;0.00;113
0.38801389999571256;-10.63;4.72;0.00;108
0.4355900999944424;-10.63;4.50;0.00;108
0.48109409998869523;-11.46;4.82;0.00;110
0.5295347999926889;-10.35;4.82;0.00;110
0.5907474999985425;-10.34;5.15;0.00;108
0.638584099986474;-10.34;6.02;0.00;108
0.6990720999892801;-10.34;5.37;0.00;108
0.7606928999884985;-10.34;5.70;0.00;109
0.8086831999971764;-9.45;6.46;0.00;109
0.8705737999989651;-9.45;5.48;0.00;102
0.9170145999960368;-9.45;5.81;0.00;102
0.9623168999969494;-10.57;5.15;0.00;102
1.0096939999930328;-10.57;4.82;0.00;102
1.0704439999972237;-10.57;5.15;0.00;115
1.117941599994083;-9.80;5.70;0.00;115
1.1627944999927422;-8.84;5.26;0.00;108
1.2083824999863282;-8.84;5.70;0.00;108
1.25543619999371;-8.84;5.26;0.00;99
1.3024269999878015;-8.84;4.93;0.00;99
1.3494919999939157;-9.85;4.61;0.00;100
1.4093187999969814;-9.85;5.15;0.00;100
1.4572831999976188;-9.85;4.39;0.00;100
1.5052209999994375;-8.77;4.82;0.00;111
1.5528157999942778;-8.76;5.15;0.00;111
1.6138489999866579;-8.76;4.93;0.00;101
1.6595820999937132;-9.54;5.04;0.00;101
1.7057698999997228;-9.55;4.61;0.00;102
1.753235299998778;-9.55;5.37;0.00;102
1.8004050999879837;-9.55;5.26;0.00;111
1.8475848999951268;-9.55;5.04;0.00;111
1.8937742999987677;-9.55;5.48;0.00;112
1.9394060999911744;-9.55;5.26;0.00;112
2.001744499997585;-8.63;5.70;0.00;112
2.0490208999981405;-10.49;6.24;0.00;113
2.09453869999561;-10.49;5.48;0.00;113
2.1394654999894556;-9.72;5.91;0.00;123
2.1873777999862796;-8.97;6.02;0.00;123
2.2344354999950156;-8.97;6.24;0.00;109
2.2811936999933096;-8.97;5.81;0.00;109
2.326605700000073;-8.97;5.91;0.00;110
2.3724289999954635;-8.97;5.59;0.00;110
2.434699499994167;-8.97;5.48;0.00;110
2.4813460999866948;-9.72;6.35;0.00;111
2.5752363999927184;-8.91;5.91;0.00;119
2.622173899988411;-8.91;6.13;0.00;119
2.668395899992902;-8.91;6.90;0.00;112
2.7144320999941556;-8.91;6.13;0.00;112
2.761587099987082;-8.04;5.81;0.00;113
2.807429399996181;-8.04;6.02;0.00;113
2.854127599988715;-8.04;5.70;0.00;105
2.9010734999901615;-9.04;6.35;0.00;105
2.9480346999916947;-9.04;5.59;0.00;105
2.995671399999992;-9.04;5.59;0.00;116
3.0414544999948703;-9.04;5.91;0.00;116
3.1044516999972984;-9.04;6.02;0.00;117
3.1509319999895524;-9.80;5.91;0.00;117
3.198757199992542;-9.81;6.24;0.00;118
3.246033199990052;-7.96;7.22;0.00;118
3.2909239000000525;-8.90;6.35;0.00;118
3.3381137999967905;-7.95;7.11;0.00;118
3.3860483999887947;-7.85;6.46;0.00;118
3.4320221999951173;-7.85;6.57;0.00;118
3.523459999996703;-7.85;6.24;0.00;108
3.5706285999913234;-6.78;6.13;0.00;108
3.6175494999915827;-6.78;5.70;0.00;99
3.664712599987979;-6.78;6.24;0.00;99
3.710071599998628;-7.90;5.59;0.00;99
3.756737899995642;-8.62;5.37;0.00;99
