time;angle;pressure;set_point;motor_speed
0.04820069999999532;30.23;0.03;80.00;60
0.08005269999995335;30.23;1.01;80.00;80
0.11113569999997708;30.23;3.63;80.00;80
0.14196719999995366;30.23;4.17;80.00;80
0.17404599999997572;30.23;6.35;80.00;80
0.22035999999997102;30.23;6.79;80.00;80
0.2512479999999755;30.23;8.09;80.00;80
0.29709099999996624;30.23;8.64;80.00;80
0.3293826999999965;30.23;10.38;80.00;80
0.3602719999999522;30.23;10.49;80.00;80
0.3932907999999884;30.23;12.35;80.00;80
0.42367239999998674;30.23;12.78;80.00;80
0.4687925000000064;30.23;13.00;80.00;80
0.5003929000000085;30.23;13.11;80.00;80
0.5458237999999938;30.23;12.35;80.00;80
0.5757131999999956;30.23;10.27;80.00;80
0.6206907999999771;30.23;9.84;80.00;80
0.6525246999999581;30.23;9.95;80.00;80
0.6835173999999711;30.23;9.51;80.00;80
0.7162588999999571;30.23;10.71;80.00;80
0.7606635999999867;30.23;10.27;80.00;80
0.7924516999999582;30.23;10.71;80.00;80
0.8237593000000061;30.23;10.17;80.00;80
0.8557241999999974;30.23;9.84;80.00;80
0.8881303999999659;30.23;9.40;80.00;80
0.919371999999953;30.23;10.71;80.00;80
0.9507098999999926;30.23;10.17;80.00;80
0.981644899999992;30.23;9.84;80.00;80
1.0139864999999872;30.23;9.51;80.00;80
1.0450780999999552;30.23;9.29;80.00;80
1.0793799999999578;30.23;10.38;80.00;80
1.1090449999999805;30.23;9.95;80.00;80
1.1395175999999765;30.23;9.73;80.00;80
1.171543999999983;30.23;9.08;80.00;80
1.202684999999974;30.23;10.38;80.00;80
1.2474058999999897;30.23;9.84;80.00;80
1.2798164999999813;30.23;10.27;80.00;80
1.3136333999999579;30.23;9.73;80.00;80
1.3434159999999906;30.23;9.51;80.00;80
1.3890162999999802;30.23;9.08;80.00;80
1.4210967999999866;30.23;9.40;80.00;80
1.4512535999999727;30.23;9.08;80.00;80
1.4839132999999833;30.23;10.38;80.00;80
1.5153806999999802;30.23;9.84;80.00;80
1.545654299999967;30.23;9.51;80.00;80
1.5778260999999816;30.23;9.08;80.00;80
1.6088095999999723;30.23;9.95;80.00;80
1.640497899999957;30.23;10.06;80.00;80
1.6725955;30.23;9.40;80.00;80
1.7023529999999596;30.23;9.08;80.00;80
1.733538899999985;30.23;8.75;80.00;80
1.779846099999986;30.23;9.95;80.00;80
1.8118567999999868;30.23;8.75;80.00;80
1.8431053999999563;30.23;9.84;80.00;80
1.887703399999964;30.23;9.40;80.00;80
1.9337908999999627;30.23;9.73;80.00;80
1.9797833000000082;30.23;8.64;80.00;80
2.01197209999998;30.23;8.75;80.00;80
2.0576032999999825;30.23;9.84;80.00;80
2.0888439999999946;30.23;8.53;80.00;80
2.1194324999999594;30.23;8.75;80.00;80
2.1506913000000054;30.23;9.62;80.00;80
2.181071999999972;30.23;9.08;80.00;80
2.212502699999959;30.23;8.75;80.00;80
2.2441687999999544;30.23;8.42;80.00;80
2.2756484999999884;30.23;9.73;80.00;80
2.306688500000007;30.23;8.86;80.00;80
2.3381038999999646;30.23;8.64;80.00;80
2.3698675999999637;30.23;8.31;80.00;80
2.416250899999966;30.23;9.51;80.00;80
2.4465683999999897;30.23;8.20;80.00;80
2.4791693999999893;30.23;9.40;80.00;80
2.5088296999999784;30.23;8.86;80.00;80
2.5407437000000073;30.23;8.53;80.00;80
2.573378199999979;30.23;8.31;80.00;80
2.6041165999999976;30.23;9.40;80.00;80
2.6491426999999703;30.23;8.86;80.00;80
2.682653899999991;30.23;9.51;80.00;80
2.7266687000000047;30.23;8.75;80.00;80
2.759641799999997;30.23;8.86;80.00;80
2.7913080999999806;30.23;8.64;80.00;80
2.820893099999978;30.23;8.20;80.00;80
2.852541599999995;30.23;9.62;80.00;80
2.881739799999991;30.23;9.29;80.00;80
2.913981999999976;30.23;8.97;80.00;80
2.9591647999999964;30.23;8.64;80.00;80
2.9917934999999716;30.23;8.97;80.00;80
3.022751699999958;30.23;8.53;80.00;80
3.0537737999999877;30.23;9.84;80.00;80
3.0840703999999732;30.23;9.62;80.00;80
3.1155339999999683;30.23;9.18;80.00;80
3.1480642999999873;30.23;8.97;80.00;80
3.1784337999999934;30.23;8.64;80.00;80
3.210044499999981;30.23;9.84;80.00;80
3.241512699999987;30.23;9.40;80.00;80
3.272652199999982;30.23;9.08;80.00;80
3.304566999999963;30.23;8.75;80.00;80
3.3494766999999683;30.23;9.95;80.00;80
3.3984792999999627;30.23;8.97;80.00;80
3.4431348999999614;30.23;9.18;80.00;80
3.4747612999999546;30.23;9.73;80.00;80
3.5068028999999683;30.23;9.18;80.00;80
3.5387403999999947;30.23;9.29;80.00;80
3.5688422999999716;30.23;10.60;80.00;80
3.6009509999999523;30.23;9.95;80.00;80
3.6326980999999705;30.23;9.62;80.00;80
3.6651266999999734;30.23;9.51;80.00;80
3.712453299999993;30.23;10.82;80.00;80
3.741225399999962;30.23;9.51;80.00;80
3.772456899999952;30.23;9.62;80.00;80
3.80249409999999;30.23;11.15;80.00;80
3.833578299999999;30.23;10.71;80.00;80
3.8656283999999914;30.23;10.27;80.00;80
3.89631959999997;30.23;10.06;80.00;80
3.9278706000000057;30.23;9.84;80.00;80
3.959809699999994;30.23;11.47;80.00;80
3.9902743999999757;30.23;11.36;80.00;80
4.036140999999986;30.23;10.71;80.00;80
4.083378899999957;30.23;11.47;80.00;80
4.114826999999991;30.23;10.27;80.00;80
4.14814419999999;30.23;11.91;80.00;80
4.176064800000006;30.23;11.69;80.00;80
4.208272799999975;30.23;11.15;80.00;80
4.24031679999996;30.23;10.60;80.00;80
4.270733899999982;30.23;10.60;80.00;80
4.302099499999997;30.23;10.49;80.00;80
4.333830599999999;30.23;11.69;80.00;80
4.364666699999987;30.23;11.80;80.00;80
4.397689499999956;30.23;11.36;80.00;80
4.430221299999971;30.23;10.93;80.00;80
4.461080799999991;30.23;10.82;80.00;80
4.491715199999987;30.23;10.82;80.00;80
4.521659299999953;30.23;11.15;80.00;80
4.554844000000003;30.23;12.24;80.00;80
4.5848942999999736;30.23;11.91;80.00;80
4.6149813999999765;30.23;11.69;80.00;80
4.661785699999996;30.23;11.26;80.00;80
4.692354199999954;30.23;12.35;80.00;80
4.7220911;30.23;12.35;80.00;80
4.753466399999979;30.23;11.80;80.00;80
4.785568299999966;30.23;11.58;80.00;80
4.816516699999966;30.23;11.36;80.00;80
4.84839199999999;30.23;11.26;80.00;80
4.879418499999986;30.23;11.36;80.00;80
4.910674799999981;30.23;12.78;80.00;80
4.942054799999994;30.23;12.78;80.00;80
4.987612499999955;30.23;12.24;80.00;80
5.018908399999987;30.23;11.69;80.00;80
5.049809600000003;30.23;13.00;80.00;80
5.081214899999964;30.23;12.89;80.00;80
5.11237269999998;30.23;12.46;80.00;80
5.158797399999969;30.23;11.91;80.00;80
5.204260900000008;30.23;13.11;80.00;80
5.235725699999989;30.23;11.80;80.00;80
5.267040099999974;30.23;11.91;80.00;80
5.298692599999981;30.23;13.33;80.00;80
5.329680999999994;30.23;13.33;80.00;80
5.36155279999997;30.23;13.00;80.00;80
5.392933400000004;30.23;12.78;80.00;80
5.4233875999999555;30.23;12.35;80.00;80
5.4544232999999736;30.23;12.24;80.00;80
5.4866131;30.23;12.13;80.00;80
5.532708200000002;30.23;12.13;80.00;80
5.564688999999987;30.23;12.78;80.00;80
5.595886699999994;30.23;12.56;80.00;80
5.628696699999978;30.23;12.35;80.00;80
5.671960899999988;30.23;12.35;80.00;80
5.704046099999971;30.23;13.65;80.00;80
5.7337309999999775;30.23;13.33;80.00;80
5.765335199999981;30.23;13.11;80.00;80
5.796349299999974;30.23;12.89;80.00;80
5.82843459999998;30.23;12.67;80.00;80
5.8601575999999795;30.23;12.56;80.00;80
5.890071499999976;30.23;12.46;80.00;80
5.920452999999952;30.23;12.56;80.00;80
5.951934199999982;30.23;12.56;80.00;80
5.983491700000002;30.23;12.67;80.00;80
6.0151252;30.23;14.31;80.00;80
6.0462428999999815;30.23;14.09;80.00;80
6.078364699999952;30.23;14.09;80.00;80
6.108076100000005;30.23;13.65;80.00;80
6.152706499999965;30.23;13.33;80.00;80
6.183789300000001;30.23;13.00;80.00;80
6.215337199999965;30.23;14.42;80.00;80
6.246231099999989;30.23;14.31;80.00;80
6.2779668000000015;30.23;14.31;80.00;80
6.323761399999967;30.23;14.31;80.00;80
6.355468499999972;30.23;13.00;80.00;80
6.386492799999985;30.23;13.00;80.00;80
6.41834689999996;30.23;13.11;80.00;80
