time;angle;pressure;set_point;motor_speed
0.06361709994962439;0.78;2.75;0.00;14
0.10967859998345375;0.78;2.65;0.00;14
0.15677329996833578;0.78;2.54;0.00;14
0.20919329999014735;0.78;2.65;0.00;14
0.2527620999608189;0.78;2.65;0.00;14
0.29942019999725744;0.78;2.65;0.00;14
0.34615169995231554;0.78;2.43;0.00;14
0.3937554999720305;0.78;2.65;0.00;14
0.4403238999657333;0.78;2.65;0.00;14
0.4878414999693632;0.78;2.65;0.00;14
0.5346647999831475;0.78;2.43;0.00;14
0.581548499991186;0.78;2.65;0.00;14
0.6606784999603406;0.78;2.54;0.00;14
0.7083464000024833;0.78;2.43;0.00;14
0.7538927999557927;0.78;2.54;0.00;14
0.8042860999703407;0.78;2.65;0.00;14
0.8485238999710418;0.78;2.43;0.00;14
0.8949468999635428;0.78;2.75;0.00;14
0.9398741999757476;0.78;2.65;0.00;14
2.013687399972696;0.78;2.21;0.00;13
2.0622485000058077;0.78;2.43;0.00;13
2.1546510999905877;0.78;2.32;0.00;13
2.2011071000015363;0.78;2.21;0.00;13
2.2464173999615014;0.78;2.43;0.00;13
2.2935762999695726;0.78;2.43;0.00;13
2.339184299984481;0.78;2.43;0.00;13
2.386425099975895;0.78;2.10;0.00;13
2.4623760999529622;0.78;2.43;0.00;13
2.508908799965866;0.78;2.32;0.00;13
2.5551337999640964;0.78;2.21;0.00;13
2.6024775999831036;0.78;2.43;0.00;13
2.6492121999617666;0.78;2.43;0.00;13
2.6961014999542385;0.78;2.32;0.00;13
2.7435813999618404;0.78;2.10;0.00;13
2.7881994000053965;0.78;2.32;0.00;12
2.836264699988533;0.78;2.43;0.00;12
2.8829286999534816;0.78;2.32;0.00;12
2.9294944999855943;0.78;2.10;0.00;12
2.97467460000189;0.78;2.43;0.00;12
4.040295199956745;0.78;2.32;5.00;37
4.086352599959355;0.78;2.21;5.00;37
4.148287199961487;0.78;2.54;5.00;37
4.195223599963356;0.78;2.65;5.00;37
4.2436038999585435;0.78;2.86;5.00;37
4.303508499986492;0.78;3.63;5.00;38
4.349177299998701;0.78;3.30;5.00;38
4.398872499994468;0.78;3.52;5.00;38
4.442405899986625;0.78;3.63;5.00;38
4.4880770999589;0.78;3.74;5.00;39
4.549871900002472;0.78;3.84;5.00;39
4.610508799960371;0.78;4.82;5.00;39
4.657661299977917;0.78;4.28;5.00;39
4.7202643000055104;0.78;4.39;5.00;40
4.78240480000386;0.78;5.37;5.00;40
4.82872910000151;0.78;4.61;5.00;40
4.906893199949991;0.78;4.82;5.00;40
4.954099199967459;0.78;5.91;5.00;40
5.013741199974902;0.78;5.04;5.00;41
5.062651199987158;0.78;5.15;5.00;41
6.148503599979449;1.61;7.00;23.00;40
6.193656999967061;1.61;9.84;23.00;133
6.240359499992337;1.61;9.73;23.00;133
6.30055339995306;1.61;6.90;23.00;135
6.348281999991741;2.47;10.82;23.00;135
6.396696699957829;2.47;8.42;23.00;132
6.442261499993037;3.26;9.73;23.00;132
6.488994399958756;3.26;11.69;23.00;130
6.537394999992102;3.26;13.44;23.00;130
6.5840742999571376;4.15;10.27;23.00;128
6.645303700002842;4.15;10.27;23.00;128
6.6922860000049695;4.15;13.00;23.00;130
6.73955419997219;5.13;14.85;23.00;130
6.801496399973985;5.13;12.24;23.00;127
6.848392099956982;5.13;12.24;23.00;127
6.893695699982345;5.13;11.47;23.00;128
6.940635399951134;5.88;11.91;23.00;128
7.00320679997094;5.88;15.72;23.00;126
7.0819917999906465;6.66;13.44;23.00;126
7.129285999981221;6.66;12.56;23.00;124
8.218598599953111;12.41;17.36;48.00;241
8.26575269998284;12.41;20.74;48.00;241
8.311765799997374;13.24;18.99;48.00;236
8.359886699996423;14.13;22.16;48.00;236
8.406930700002704;15.02;18.78;48.00;235
8.453819499991369;15.02;19.65;48.00;235
8.515829899988603;15.96;18.99;48.00;229
8.56538379995618;17.64;19.32;48.00;229
8.610792999970727;17.64;20.30;48.00;223
8.672485999995843;18.57;20.08;48.00;223
8.719240799953695;19.40;19.10;48.00;217
8.763721700001042;20.32;20.08;48.00;217
8.811531499959528;21.13;23.79;48.00;215
8.874375399958808;21.94;20.19;48.00;215
8.923888999968767;22.80;19.98;48.00;210
8.982571400003508;22.80;21.50;48.00;210
9.032326699991245;24.62;24.34;48.00;203
9.11061619996326;25.44;23.90;48.00;197
9.157895499956794;26.33;20.41;48.00;197
9.20349260000512;26.33;20.52;48.00;195
10.278607399959583;38.23;21.83;79.00;255
10.326181299984455;39.00;22.70;79.00;255
10.373067199951038;39.94;23.14;79.00;255
10.420011199952569;40.86;22.81;79.00;255
10.467180899984669;41.71;26.30;79.00;255
10.514853200002108;42.62;23.46;79.00;255
10.577390799997374;43.72;24.66;79.00;255
10.623560799984261;44.69;23.68;79.00;255
10.669573299994227;45.73;22.92;79.00;255
10.715292799985036;46.73;23.90;79.00;255
10.761821699969005;47.70;27.61;79.00;255
10.808518499950878;47.70;24.12;79.00;255
10.858351699949708;48.92;25.10;79.00;255
10.901059700001497;49.91;26.52;79.00;255
10.948139299987815;52.10;24.01;79.00;255
10.993422399973497;53.27;23.25;79.00;255
11.054999399988446;53.27;24.34;79.00;255
11.117667099984828;54.19;24.55;79.00;254
11.163093599956483;56.19;24.34;79.00;254
11.223388399987016;57.29;27.17;79.00;246
12.308729299984407;74.26;23.68;111.00;255
12.355577099951915;75.08;24.55;111.00;255
12.402410999988206;75.93;23.79;111.00;255
12.449858099978883;75.93;24.88;111.00;255
12.497749999980442;76.89;28.15;111.00;255
12.55851459997939;77.95;24.88;111.00;255
12.605832999979611;79.59;23.79;111.00;255
12.654508699954022;79.59;24.55;111.00;255
12.70559269998921;80.76;23.68;111.00;255
12.764104699948803;81.56;28.04;111.00;255
12.812483299989253;82.62;24.66;111.00;255
12.857061399961822;83.50;25.75;111.00;255
12.919776299968362;4.29;24.88;111.00;255
12.967988799966406;85.40;24.66;111.00;255
13.013953699963167;86.15;24.44;111.00;255
13.059366699948441;86.91;24.44;111.00;255
13.10830869997153;88.02;24.01;111.00;255
13.154478599957656;88.87;24.12;111.00;255
13.199835999985225;89.74;24.99;111.00;255
13.24559159995988;90.54;28.15;111.00;255
14.339297999977134;106.58;25.21;139.00;213
14.386434799991548;106.58;24.55;139.00;255
14.43185850000009;107.64;26.73;139.00;255
14.478954399994109;107.64;24.34;139.00;255
14.526022999954876;108.57;25.53;139.00;255
14.57213749998482;109.61;28.15;139.00;255
14.61868209997192;110.64;25.32;139.00;255
14.665731499961112;110.64;27.17;139.00;255
14.712228299991693;111.55;24.66;139.00;255
14.759796899976209;111.55;24.55;139.00;255
14.806117999949493;112.75;24.66;139.00;255
14.852524399990216;113.71;24.23;139.00;255
14.899746399954893;113.71;24.34;139.00;255
14.945327599998564;114.80;24.77;139.00;255
14.992128499958199;115.76;27.71;139.00;255
15.038943599967752;115.76;24.66;139.00;255
15.084881599992514;116.70;25.53;139.00;255
15.129454799985979;117.46;28.15;139.00;255
15.177623299998231;118.32;24.99;139.00;255
15.22495219996199;118.32;25.97;139.00;255
16.290515400003642;132.92;25.10;159.00;255
16.341765199962538;133.94;24.44;159.00;255
16.38517869997304;134.73;24.44;159.00;255
16.433288000000175;135.52;23.90;159.00;255
16.480474299984053;136.52;25.53;159.00;255
16.52647139999317;136.52;24.34;159.00;255
16.57247059996007;137.33;25.10;159.00;255
16.62022739998065;138.21;28.26;159.00;255
16.667302899993956;138.21;24.77;159.00;255
16.712980299955234;139.19;25.75;159.00;255
16.758624199952465;140.10;28.48;159.00;255
16.805150699976366;140.10;25.21;159.00;255
16.884127099998295;140.91;24.99;159.00;255
16.930256799969357;141.87;24.77;159.00;255
16.97697319998406;142.91;24.88;159.00;255
17.02359149995027;142.91;24.55;159.00;255
17.101787099963985;143.70;25.21;159.00;255
17.148028399969917;144.62;26.41;159.00;255
17.209710199967958;145.58;24.77;159.00;255
17.271527299948502;146.39;24.77;159.00;255
18.35924849996809;160.19;26.08;169.00;241
18.405169199977536;161.28;25.32;169.00;255
18.45286560000386;162.15;24.88;169.00;255
18.513716499961447;162.15;28.48;169.00;255
18.562402399955317;163.30;24.99;169.00;255
18.60814909997862;164.13;25.97;169.00;255
18.657669299980626;164.13;24.88;169.00;255
18.734496199991554;165.03;25.43;169.00;255
18.780892299953848;165.82;27.61;169.00;255
18.841923400002997;66.75;24.77;169.00;255
18.88887819997035;167.64;25.21;169.00;255
18.935736599960364;168.44;26.19;169.00;255
18.983133999980055;168.44;28.37;169.00;255
19.029262600000948;169.58;24.77;169.00;246
19.090484599990305;169.58;24.77;169.00;246
19.137517699971795;171.38;26.19;169.00;241
19.18495049997;171.38;24.99;169.00;241
19.231471099948976;172.14;24.44;169.00;233
19.27886939997552;172.98;25.10;169.00;233
19.325159200001508;172.98;25.43;169.00;228
20.39880169997923;181.78;24.55;167.00;165
20.44584619998932;182.63;24.01;167.00;165
20.49213659996167;182.63;27.50;167.00;159
20.53825349995168;182.63;27.50;167.00;159
20.58573479996994;183.43;26.95;167.00;159
20.633759299991652;183.43;23.90;167.00;154
20.71191709995037;184.30;24.55;167.00;147
20.759833799966145;184.30;26.73;167.00;147
20.80639829998836;184.30;23.90;167.00;146
20.867837199999485;185.25;23.14;167.00;146
20.91408409998985;183.28;24.01;167.00;149
20.960464499949012;180.32;24.66;167.00;149
21.008015599974897;180.32;24.66;167.00;163
21.05487259995425;180.32;24.66;167.00;163
21.102663500001654;180.32;24.66;167.00;163
21.164701999980025;180.32;24.66;167.00;161
21.210992299951613;180.32;24.66;167.00;160
21.271445699967444;180.32;24.66;167.00;160
21.350464699964505;180.32;24.66;167.00;159
21.410505699983332;180.32;24.66;167.00;159
22.48577759996988;179.56;24.66;153.00;150
22.53283509996254;179.56;24.66;153.00;77
22.59355319995666;179.56;24.66;153.00;77
22.64212909998605;179.56;24.55;153.00;74
22.68751409999095;179.56;24.66;153.00;74
22.750410599983297;179.56;24.66;153.00;72
22.81355209997855;179.56;24.55;153.00;69
22.85985609999625;178.80;24.66;153.00;69
22.906644399976358;178.80;24.66;153.00;70
22.967353499960154;178.80;24.66;153.00;70
23.015034599986393;178.80;24.55;153.00;68
23.060768399969675;178.80;24.55;153.00;68
23.10991139995167;178.80;24.55;153.00;65
23.155661299999338;178.80;24.55;153.00;65
23.215970899967942;178.80;24.55;153.00;63
23.263317199947778;178.80;24.66;153.00;63
23.314646999991965;178.80;24.55;153.00;60
23.356161799980327;178.80;24.55;153.00;60
23.40348829998402;178.80;24.55;153.00;57
23.453508999955375;178.80;24.55;153.00;57
24.525057999999262;178.03;24.55;130.00;36
24.57218560000183;178.03;24.55;130.00;36
24.618521799973678;178.03;23.14;130.00;-83
24.680743699951563;174.25;22.48;130.00;-83
24.727255399979185;170.15;22.05;130.00;-69
24.79002199997194;162.70;21.28;130.00;-14
24.838300599949434;158.18;20.85;130.00;-14
