time;angle;pressure;set_point;motor_speed
0.04922729998361319;0.92;0.25;0.00;-6
1.1013982000295073;0.92;0.25;0.00;-6
2.165185199934058;0.92;0.36;0.00;-7
3.2162524999585003;0.92;0.25;0.00;-8
4.274264100007713;0.92;0.25;1.00;-9
5.336256999988109;0.92;0.25;2.00;-4
6.400039799977094;0.92;0.25;3.00;1
7.464682999998331;0.92;0.46;4.00;8
8.52650159993209;0.92;1.66;5.00;21
9.5770504999673;1.68;2.97;7.00;21
10.649528299923986;3.36;4.50;8.00;26
11.711171399918385;4.18;5.37;10.00;31
12.770355799933895;5.07;7.11;12.00;52
13.831163899973035;6.73;8.97;14.00;49
14.892029399983585;8.37;11.91;16.00;57
15.952645199955441;9.92;12.35;19.00;66
17.014602200011723;12.26;14.74;21.00;77
18.09352749993559;14.66;16.60;24.00;98
19.1482198999729;17.16;17.25;27.00;93
20.220134199946187;19.52;18.01;29.00;104
21.293853299925104;22.62;19.54;32.00;107
22.36023639992345;25.11;20.08;35.00;117
23.433802300016396;26.71;20.63;38.00;149
24.496012900024652;29.11;24.23;41.00;162
25.54932629992254;31.52;24.23;45.00;163
26.60217470000498;33.12;24.77;48.00;184
27.69000069994945;35.47;25.64;51.00;201
28.756074599921703;38.71;25.64;54.00;214
29.8251939000329;42.49;23.90;58.00;227
30.892901199986227;46.65;23.14;61.00;252
31.95503930002451;51.61;26.30;64.00;238
33.0148928000126;56.76;24.12;67.00;237
34.07421569991857;62.68;26.73;71.00;229
35.12426429998595;68.51;23.57;74.00;240
36.17999360000249;73.29;27.28;77.00;223
37.243285899981856;78.78;27.61;80.00;212
38.303110699984245;83.77;24.01;83.00;196
39.367745099938475;88.76;26.08;86.00;198
40.42276719992515;81.50;28.15;89.00;228
41.48476479994133;83.07;24.55;92.00;248
42.56154989998322;89.21;27.39;95.00;238
43.62349589995574;95.03;24.99;97.00;231
44.685853399918415;100.00;25.75;100.00;215
45.7441158000147;106.08;26.19;102.00;193
46.807256200001575;110.29;25.64;105.00;176
47.873046300024725;113.66;25.32;107.00;178
48.93510130001232;117.84;27.71;109.00;153
50.012608999968506;120.29;24.66;110.00;137
51.072037199977785;123.39;24.88;112.00;118
52.13426019996405;124.96;26.30;114.00;104
53.18559969996568;125.74;28.04;115.00;104
54.246260199928656;126.56;25.97;116.00;90
55.31249729997944;126.56;26.95;117.00;84
56.37323020002805;125.80;25.97;118.00;84
57.43048680003267;125.80;25.86;119.00;86
58.49345319997519;125.80;25.86;119.00;80
59.55375550000463;124.10;25.75;119.00;78
60.60668949992396;123.26;25.75;119.00;82
61.658953699981794;119.19;25.75;119.00;99
62.71639990003314;118.44;25.64;119.00;103
63.77960200002417;117.62;25.64;119.00;108
64.83658409991767;116.83;25.64;118.00;114
65.89965059992392;116.83;25.64;117.00;110
66.95065469993278;116.83;25.64;116.00;105
68.0099937999621;116.83;25.64;115.00;99
69.07087449997198;116.06;25.53;114.00;97
70.14930399996229;116.06;25.53;113.00;90
71.20812969992403;116.06;25.53;111.00;71
72.26833340001758;116.83;25.53;109.00;63
73.32566470000893;117.62;25.53;107.00;41
74.38336630002595;116.85;25.43;105.00;24
75.4354267999297;116.85;25.43;103.00;4
76.49730889999773;106.92;25.10;101.00;37
76.57430809992366;106.92;25.10;98.00;27
77.63379569991957;106.03;25.10;96.00;8
78.68480329995509;91.40;24.77;93.00;78
79.74856109998655;94.23;24.77;90.00;45
80.82713440002408;94.09;24.77;87.00;27
81.88001810002606;94.02;24.77;84.00;5
82.9391146999551;82.30;24.44;81.00;33
84.00634089997038;82.24;24.44;78.00;32
85.0636627000058;82.10;24.44;75.00;13
86.12420680001378;75.33;24.23;72.00;31
87.18251439998858;74.47;24.23;68.00;17
88.24270920001436;71.33;24.01;65.00;9
89.29705079994164;67.04;23.79;62.00;13
90.36516239994671;63.43;23.68;59.00;14
91.42728279996663;58.60;23.46;55.00;22
92.51811259996612;58.60;22.70;52.00;-16
93.56800550001208;49.22;23.14;49.00;16
94.62143539998215;50.10;23.25;45.00;11
95.67357089999132;41.14;22.70;42.00;38
96.74730549997184;41.14;22.81;39.00;24
97.81217389996164;41.14;22.81;36.00;6
98.87507930002175;35.59;22.37;33.00;13
99.93312059994787;35.59;22.48;30.00;1
101.01775160001125;29.57;21.72;27.00;15
102.07472809997853;27.21;21.39;25.00;10
103.13173649995588;25.68;21.07;22.00;10
104.18494099995587;22.93;20.96;19.00;0
105.24643159995321;17.90;20.74;17.00;14
106.29779149999376;17.90;20.85;15.00;3
107.35483530000784;11.95;19.32;13.00;13
108.42473149998114;14.54;19.43;11.00;4
109.4828285999829;9.70;16.49;9.00;15
110.53587110002991;9.52;16.49;7.00;5
111.60019909997936;3.56;11.80;6.00;27
112.65493109996896;3.51;11.69;4.00;25
113.73049079999328;3.51;11.47;3.00;15
114.78961570002139;2.73;11.15;2.00;14
115.85251320002135;2.73;10.93;1.00;8
116.91172989993356;1.97;10.60;0.00;6
117.9679199999664;1.97;10.27;0.00;0
119.02269639994483;-3.05;4.82;0.00;21
120.08340699994005;-3.08;4.50;0.00;29
121.14814920001663;-3.08;4.06;0.00;32
122.20807149994653;-3.08;3.74;0.00;35
123.28452310001012;-2.31;5.59;0.00;34
124.34745849994943;-1.56;6.68;1.00;32
125.41408649994992;-0.75;7.99;2.00;35
126.47238679998554;0.06;8.20;2.00;39
127.53444259997923;0.06;8.42;4.00;40
128.59068929997738;0.81;9.84;5.00;50
129.6677325000055;2.38;10.93;6.00;50
130.71835959993768;3.19;11.80;8.00;55
131.7842816999182;4.74;14.31;10.00;61
132.84453360002954;6.21;14.31;12.00;72
133.91347199992742;7.83;15.83;14.00;75
134.97032089997083;9.42;16.49;16.00;83
136.03222970000934;11.79;20.41;18.00;97
