time;angle;pressure;set_point;motor_speed
0.046697699988726526;-36.54;4.61;0.00;249
0.10772659996291623;-36.54;6.02;0.00;253
0.15583649999462068;-36.54;5.37;0.00;253
0.20452279999153689;-36.54;7.66;0.00;255
0.26596869999775663;-35.53;8.31;0.00;255
0.32796359999338165;-35.53;11.47;0.00;255
0.3739894999889657;-34.71;10.06;0.00;255
0.42160810000495985;-33.94;13.87;0.00;254
0.4681861000135541;-33.94;11.36;0.00;254
0.5151254999800585;-33.00;11.69;0.00;249
0.5620360999600962;-32.04;12.13;0.00;249
0.6069223000085913;-32.04;12.13;0.00;248
0.6592195999692194;-32.04;16.49;0.00;248
0.7018165999907069;-30.95;13.65;0.00;245
0.7490859999670647;-30.95;16.81;0.00;245
0.8108471999876201;-29.91;13.98;0.00;243
0.8589327000081539;-29.14;17.90;0.00;243
0.9057190999737941;-29.14;15.83;0.00;242
0.9876052999752574;-27.49;15.29;0.00;242
1.030724000011105;-27.49;18.99;0.00;237
1.0926141999661922;-26.53;16.27;0.00;237
1.1404422000050545;-25.75;17.69;0.00;234
1.186882300011348;-25.75;17.14;0.00;234
1.235707999963779;-24.78;16.81;0.00;233
1.2809091999661177;-24.78;20.19;0.00;233
1.328158899967093;-23.90;20.52;0.00;231
1.3748362999758683;-23.90;20.63;0.00;231
1.422081700002309;-22.86;20.63;0.00;229
1.4677523999707773;-22.86;18.89;0.00;229
1.5289572000037879;-22.04;17.69;0.00;222
1.574991700006649;-21.08;19.21;0.00;222
1.6217804999905638;-21.08;21.50;0.00;219
1.6686287999618798;-20.29;18.23;0.00;219
1.73072009999305;-20.29;19.87;0.00;217
1.7772293000016361;-19.46;19.32;0.00;217
1.8236062999931164;-18.62;19.76;0.00;215
1.870354899961967;-18.62;18.89;0.00;215
1.917643999971915;-18.62;20.08;0.00;213
1.9786990999709815;-17.68;22.59;0.00;213
2.02810519997729;-16.93;19.32;0.00;206
2.072859200008679;-16.03;22.81;0.00;206
2.120677799975965;-16.03;21.28;0.00;203
2.167565100011416;-15.26;19.65;0.00;203
2.2286032999982126;-15.26;20.52;0.00;201
2.276164399983827;-14.37;21.50;0.00;201
2.3225641999742948;-14.37;19.98;0.00;198
2.370531599968672;-13.49;20.08;0.00;198
2.4190402000094764;-13.49;20.19;0.00;194
2.465126600000076;-12.68;20.30;0.00;194
2.51293159998022;-12.68;20.96;0.00;192
2.5582742000115104;-12.68;21.07;0.00;192
2.6057040999876335;-11.80;21.28;0.00;189
2.6540156999835745;-11.80;22.16;0.00;189
2.6986208999878727;-10.90;23.79;0.00;189
2.746573399985209;-10.90;20.41;0.00;185
2.793901700002607;-10.90;20.96;0.00;185
2.842051999992691;-9.94;22.26;0.00;186
2.888760900008492;-9.94;23.25;0.00;186
2.9346843999810517;-8.92;20.96;0.00;182
2.9830276999855414;-8.92;22.16;0.00;182
3.028662099968642;-8.92;20.63;0.00;178
3.0768435999634676;-8.10;21.94;0.00;178
3.1253345999866724;-8.10;20.74;0.00;175
3.1706340999808162;-7.30;22.48;0.00;175
3.2178313999902457;-7.30;21.28;0.00;172
3.2663273999933153;-7.30;22.26;0.00;172
3.327568300010171;-6.53;22.81;0.00;168
3.3747463999898173;-6.53;22.37;0.00;168
3.4224492000066675;-5.70;21.39;0.00;169
3.4686577999964356;-5.70;21.17;0.00;169
3.529779399977997;-5.70;24.55;0.00;165
3.578745800012257;-4.75;22.81;0.00;165
3.6398330999654718;-4.75;22.70;0.00;161
3.686616899969522;-4.75;23.25;0.00;161
3.7339115999639034;-4.75;23.14;0.00;162
3.810636300011538;-3.84;22.59;0.00;162
3.870664599991869;-3.84;22.59;0.00;158
3.9180720999720506;-3.84;24.66;0.00;158
3.964784400013741;-3.84;22.48;0.00;158
4.011899299977813;-2.97;21.50;0.00;158
4.059039300016593;-2.97;21.39;0.00;154
4.1046607999596745;-2.97;22.59;0.00;154
4.153125100012403;-2.97;23.90;0.00;154
4.200662099989131;-2.97;21.61;0.00;154
4.248875099990983;-2.21;21.83;0.00;151
4.295494999969378;-2.21;23.03;0.00;151
4.342538699973375;-2.21;21.61;0.00;151
4.388567699992564;-1.45;22.48;0.00;151
4.437276499986183;-1.45;23.68;0.00;147
4.498504099959973;-1.45;21.50;0.00;147
4.545445800002199;-0.69;23.68;0.00;147
4.589533899968956;-0.69;21.61;0.00;147
4.637625099974684;-0.69;22.92;0.00;144
4.6835903999744914;-0.69;22.70;0.00;144
4.72878830000991;-0.69;22.70;0.00;144
4.789925399993081;-0.69;22.05;0.00;144
4.8366179000004195;0.29;24.88;0.00;144
4.8846317999996245;0.29;22.92;0.00;139
4.931577900017146;0.29;21.61;0.00;139
4.979347300017253;0.29;22.16;0.00;139
5.040977799973916;0.29;23.35;0.00;139
5.086678299994674;0.29;22.70;0.00;139
5.133599099994171;1.08;21.83;0.00;139
5.181889200001024;1.08;22.05;0.00;135
5.228702399996109;1.08;24.77;0.00;135
5.274902099976316;1.08;23.46;0.00;134
5.320685199985746;1.08;22.48;0.00;134
5.368952099990565;1.08;22.81;0.00;134
5.414572999987286;1.08;21.83;0.00;134
5.461714699980803;1.08;21.72;0.00;134
5.508341200009454;1.84;22.16;0.00;134
5.570238699961919;1.84;24.77;0.00;130
5.614622899971437;1.84;21.72;0.00;130
