angle,set_point,pressure,motor_speed,
0.00,15.00,17.80,60.00,
3.45,15.00,17.80,60.00,
3.45,15.00,17.69,60.00,
11.59,15.00,17.80,60.00,
11.59,15.00,17.80,60.00,
17.33,15.00,17.69,60.00,
17.33,15.00,17.80,60.00,
17.33,15.00,17.80,60.00,
17.33,15.00,17.80,60.00,
17.33,15.00,17.80,-167.57,
17.33,15.00,17.14,-167.57,
16.37,15.00,16.81,-167.57,
16.37,15.00,16.81,-167.57,
16.37,15.00,16.60,-167.57,
16.37,15.00,16.60,-167.57,
15.27,15.00,16.38,-167.57,
15.27,15.00,16.27,-167.57,
14.13,15.00,16.16,-167.57,
14.13,15.00,15.94,48.09,
13.07,15.00,16.60,48.09,
13.07,15.00,16.49,48.09,
12.32,15.00,16.49,48.09,
12.32,180.00,16.49,48.09,
12.32,180.00,16.60,255.00,
12.32,180.00,16.92,255.00,
11.42,180.00,17.25,255.00,
11.42,180.00,16.27,255.00,
11.42,180.00,17.36,255.00,
11.42,180.00,17.25,255.00,
11.42,180.00,17.69,255.00,
11.42,180.00,17.47,255.00,
11.42,180.00,17.36,255.00,
11.42,180.00,17.58,255.00,
11.42,180.00,17.36,255.00,
11.42,180.00,17.90,255.00,
11.42,180.00,17.25,255.00,
11.42,180.00,18.01,255.00,
12.62,180.00,17.36,255.00,
12.62,180.00,18.23,255.00,
12.62,180.00,17.69,255.00,
12.62,180.00,18.45,255.00,
13.83,180.00,17.90,255.00,
13.83,180.00,18.67,255.00,
13.83,180.00,18.23,255.00,
13.83,180.00,19.10,255.00,
14.84,180.00,18.56,255.00,
14.84,180.00,19.21,255.00,
14.84,180.00,18.78,255.00,
14.84,180.00,18.78,255.00,
16.02,180.00,18.89,255.00,
16.02,180.00,18.23,255.00,
16.02,180.00,18.99,255.00,
16.02,180.00,18.34,255.00,
17.29,180.00,19.32,255.00,
17.29,180.00,18.89,255.00,
17.29,180.00,19.76,255.00,
17.29,180.00,19.32,255.00,
18.45,180.00,19.65,255.00,
18.45,180.00,19.43,255.00,
18.45,180.00,18.78,255.00,
18.45,180.00,19.54,255.00,
19.71,180.00,18.78,255.00,
19.71,180.00,19.65,255.00,
20.48,180.00,18.99,255.00,
20.48,180.00,20.08,255.00,
21.24,180.00,19.43,255.00,
21.24,180.00,20.30,255.00,
21.24,180.00,19.76,255.00,
21.24,180.00,20.41,255.00,
22.62,180.00,19.98,255.00,
22.62,180.00,20.08,255.00,
22.62,180.00,19.87,255.00,
22.62,180.00,19.32,255.00,
23.93,180.00,20.08,255.00,
23.93,180.00,19.54,255.00,
23.93,180.00,20.52,255.00,
23.93,180.00,20.08,255.00,
25.43,180.00,20.85,255.00,
25.43,180.00,20.19,255.00,
25.43,180.00,20.52,255.00,
25.43,180.00,20.19,255.00,
26.77,180.00,19.54,255.00,
26.77,180.00,20.41,255.00,
27.58,180.00,19.76,255.00,
27.58,180.00,20.74,255.00,
